shady	period		Job 40 usage, ordinary EModE adj
shamefacedness	period		1 Tim 2:9 -ness abstract noun, EModE
shamelessly	period		regular -ly adverb, EModE
shapes	period		plain plural noun
sharpness	period		-ness abstract, common EModE
shaved	period		regular past tense, EModE
sheaf	period		common agrarian noun
shearers	period		-er agent noun, common
shearing	period		gerund, common
sheaves	period		plural of sheaf
shedder	period		-er agent noun
shedding	period		gerund
sheep's	period		possessive, trivial
sheepcote	period		compound pastoral noun
sheepcotes	period		plural of sheepcote
sheepfold	period		compound pastoral noun
sheepfolds	period		plural
sheepmaster	period		compound, 2 Kings 3:4
sheepshearers	period		compound agent noun
sheepskins	period		compound, Heb 11:37
sheets	period		Judg 14:12, common noun
shepherd's	period		possessive of common noun
sherd	period		var. of shard, Ezek 23:34 type
sherds	period		plural
sheriffs	period		Dan 3:2,3, loanword current by 1611
shipwreck	period		1 Tim 1:19, common EModE
shock	period		Judg 15:5, agrarian noun
shocks	period		plural
shoe's	period		possessive, trivial
shoelatchet	period		compound, Gen 14:23 / Isa 5:27 style
shoulderpieces	period		compound, Ex 28:7
shouteth	period		regular -eth verb
shovel	period		Ex 27:3, common tool noun
shovels	period		plural
shrank	period		Gen 32:32, strong past tense
shrines	period		Acts 19:24, common noun
shrubs	period		Gen 21:15, common noun
shunned	period		Acts 20:27, regular past
sieve	period		Amos 9:9, common tool noun
sighest	period		archaic -est 2nd person verb
silly	period		2 Tim 3:6, common EModE adj (sense: weak)
silverlings	period		Isa 7:23, attested rare KJV coinage
silversmith	period		Acts 19:24, compound occupational noun
sincerity	period		common Latinate EModE abstract noun
singed	period		Dan 3:27, regular past
singleness	period		Acts 2:46, -ness abstract
sister's	period		possessive, trivial
sixscore	period		Jonah 4:11, EModE numeral compound
sixtyfold	period		Matt 13:8, numeral compound
skilfulness	period		Ps 78:72, -ness abstract
skipped	period		Ps 114:4, regular past
skippedst	period		archaic -est 2nd person verb
slacked	period		2 Pet 3:9, regular past
slackness	period		2 Pet 3:9, -ness abstract
slanderers	period		1 Tim 3:11, -er agent noun
slanderously	period		Rom 3:8, regular adverb
slanders	period		plural noun
slaves	period		Rev 18:13, common noun
slidden	period		Jer 8:5, strong past participle
slimepits	period		Gen 14:10, compound noun
slingers	period		2 Kings 3:25, -er agent noun
slingstones	period		Job 41:28, compound noun
slipped	period		regular past tense
slippery	period		Ps 35:6, common adj
slothful	period		common EModE adj
slothfulness	period		-ness abstract
sluices	period		Isa 19:10, common noun
slumbered	period		regular past
slumbereth	period		regular -eth verb
slumberings	period		Job 33:15, gerund noun
smelleth	period		Job 39:25, regular -eth verb
smiths	period		1 Sam 13:19, common occupational noun
smoother	period		Ps 55:21, comparative adj
smootheth	period		Isa 41:7, regular -eth verb
sneezed	period		2 Kings 4:35, regular past
snorting	period		Jer 8:16, gerund
snowy	period		2 Sam 23:20, common adj
snuffdishes	period		Ex 25:38, tabernacle-vessel compound
soaked	period		Isa 34:7, regular past
soberness	period		Acts 26:25, -ness abstract
sobriety	period		1 Tim 2:9, common Latinate abstract
sodomite	period		Deut 23:17, attested KJV term
sojourn	period		very common EModE verb/noun
sojourners	period		common -er agent noun
sojourneth	period		regular -eth verb
sojourning	period		gerund, common
soldiers	period		extremely common EModE noun
solemnity	period		common Latinate abstract noun
solemnly	period		regular adverb
solitarily	period		Micah 7:14, regular adverb
somebody	period		Luke 8:46, common EModE pronoun
son's	period		possessive, trivial
sorceress	period		Isa 57:3, -ess agent noun
sorrowed	period		regular past tense
sorroweth	period		regular -eth verb
sorrowing	period		gerund
sottish	period		Jer 4:22, attested KJV adj
soul's	period		possessive, trivial
soundness	period		Isa 1:6, -ness abstract
sparks	period		Job 5:7, common noun
sparrows	period		Matt 10:29, common noun
spear's	period		1 Sam 26:7, possessive
spearmen	period		Acts 23:23, compound noun
speckled	period		Gen 30, common adj
speechless	period		Matt 22:12, common adj
speedy	period		Zeph 1:18, common adj
spider's	period		Job 8:14, possessive
spoiler	period		common agent noun
spoilers	period		plural
spoilest	period		archaic -est 2nd person verb
spoons	period		Ex 25:29, common tool noun
spreadest	period		archaic -est 2nd person verb
spreadings	period		Job 36:29, gerund noun
sprigs	period		Ezek 17:6, common noun
sprout	period		Job 14:7, common verb
spunge	period		old EModE spelling of sponge, Matt 27:48
squares	period		Ezek 43:16, common noun
stacks	period		Ex 22:6, common noun
stacte	period		Ex 30:34, attested incense term
staggered	period		Rom 4:20, regular past
staggereth	period		regular -eth verb
stain	period		Isa 23:9, common verb/noun
stalls	period		1 Kings 4:26, common noun
stammerers	period		Isa 32:4, -er agent noun
stamp	period		common verb, Lev-style
standardbearer	period		Isa 10:18, compound noun
stargazers	period		Isa 47:13, compound noun
stayeth	period		regular -eth verb
stays	period		2 Chron 9:18, common noun
stealth	period		2 Sam 19:3, common abstract noun
stedfastness	period		EModE spelling of steadfastness
sticketh	period		Prov 18:24, regular -eth verb
stiffened	period		2 Chron 36:13, regular past
stiffhearted	period		Ezek 2:4, compound adj
stiffnecked	period		common compound adj
stirs	period		Isa 22:2, common noun
stomach's	period		1 Tim 5:23, possessive
stone's	period		Luke 22:41, possessive
stonesquarers	period		1 Kings 5:18, compound occupational noun
stoning	period		common gerund
stools	period		Ex 1:16, common noun
stoop	period		common verb
stooped	period		regular past
stoopeth	period		regular -eth verb
stooping	period		gerund
storehouses	period		common compound noun
stouthearted	period		Ps 76:5, compound adj
stoutness	period		Isa 9:9, -ness abstract
straiten	period		common verb, distinct from straight
straitened	period		regular past
straiteneth	period		regular -eth verb
straitest	period		superlative adj
straitness	period		-ness abstract
straits	period		plural noun
stranger's	period		possessive, trivial
strengthenedst	period		archaic -edst 2nd person verb
stretchest	period		archaic -est 2nd person verb
stringed	period		Ps 150:4, common adj
stripling	period		1 Sam 17:56, common noun
strived	period		regular past
striveth	period		regular -eth verb
striving	period		gerund
strivings	period		plural noun
struggled	period		Gen 25:22, regular past
stubborn	period		common adj
stubbornness	period		-ness abstract
stuck	period		common past tense
studs	period		Song 1:11, common noun
stumblingblock	period		common compound noun
stumblingblocks	period		plural
stumblingstone	period		compound noun
stump	period		Dan 4, common noun
subjected	period		regular past
subjection	period		common Latinate abstract noun
subtilty	period		EModE spelling of subtlety
subvert	period		common Latinate verb
subverted	period		regular past
subverting	period		gerund
succeedest	period		archaic -est 2nd person verb
succourer	period		Rom 16:2, -er agent noun
sufficiency	period		common Latinate abstract noun
suits	period		Isa 3:22, common noun
sumptuously	period		Luke 16:19, regular adverb
sunk	period		common past participle
sunrising	period		compound noun
supplant	period		Gen 27:36, common verb
suppliants	period		Zeph 3:10, common noun
supreme	period		1 Pet 2:13, common Latinate adj
sureties	period		Prov 6:1, plural of surety
surfeiting	period		Luke 21:34, gerund
swaddled	period		regular past
swaddling	period		gerund
swaddlingband	period		Job 38:9, compound noun
swarms	period		Ex 8, common noun
sweep	period		common verb
sweeping	period		gerund
sweetsmelling	period		Eph 5:2, compound adj
swerved	period		1 Tim 1:6, regular past
swine's	period		Matt 7:6, possessive
swoon	period		Lam 2:11, common verb
sycomore	period		Luke 19:4, common tree name
sycomores	period		plural
synagogue's	period		Mark 5:35, possessive
tabering	period		Nahum 2:7, attested gerund
tacklings	period		Isa 33:23, common noun
tapestry	period		Prov 7:16, common noun
tarriest	period		archaic -est 2nd person verb
tarrieth	period		regular -eth verb
tarrying	period		gerund
taskmasters	period		common compound noun
tasks	period		Ex 5:13, common noun
tattlers	period		1 Tim 5:13, -er agent noun
taunt	period		common verb/noun
taunting	period		gerund
taxation	period		2 Kings 23:35, common Latinate noun
teats	period		Isa 32:12, common noun
