edify	period		Latinate verb "edify/edifien" long-naturalized via French, productive -y verb class; no independent hit but standard EModE religious vocabulary formation
effectually	period		"effectual" + productive -ly adverb suffix, fully naturalized Latinate adjective class
effeminate	period		Latinate adjective, -ate suffix class productive since ME borrowings
eightieth	period		ordinal numeral, native -eth ordinal suffix fully productive
eighty	period		native numeral compound (eight + -ty), productive
elect's	period		genitive of "elect" (Latinate adjective used as noun), standard genitive formation
elms	period		native tree-name plural, plain vocabulary
embalm	period		French-derived verb (en- + balm), attested loan pattern
embalmed	period		regular past tense of embalm
emboldened	period		en- + bold + -en(ed), fully productive native prefix/suffix pattern
emboldeneth	period		en- + bold + -eth, productive -eth verb class
embroider	period		French-derived verb, established loan
emerald	period		OF loanword "esmeraude", long medieval pedigree
emeralds	period		plural of emerald, regular
employ	period		French-derived verb, established by 16th c.
employment	period		employ + productive -ment nominalizer
emptiness	period		empty + productive native -ness suffix
encamp	period		en- + camp, productive native/French prefix pattern
encamped	period		regular past tense of encamp
encampeth	period		-eth verb form of encamp, productive
encamping	period		-ing form of encamp, productive
enchantment	period		attested ME "enchantement" (cf. Chaucer), long pedigree
encountered	period		French-derived verb, established
endamage	suspect	damage/hurt	en- + damage is a plausible but unattested formation; "damage" alone as verb is well attested, prefixed form cannot be independently confirmed
endanger	period		en- + danger, productive prefix on established French loan
endangered	period		regular past tense of endanger
enemy's	period		genitive of "enemy", standard genitive formation
engrafted	period		en- + graft + -ed, productive prefix pattern
engrave	period		en- + grave (to carve), native/French prefix pattern
engraven	period		strong past participle of engrave, native -en pattern
engraver	period		engrave + agent -er, productive
engravings	period		engrave + -ing + plural, productive
enjoin	period		French-derived verb "enjoindre", established loan
enjoined	period		regular past tense of enjoin
enlarging	period		en- + large + -ing, productive
enlighten	period		en- + light + -en, productive native pattern
enlightened	period		regular past tense of enlighten
enlightening	period		-ing form, productive
enquirest	period		-est thou-form of enquire (French loan), fully productive verb class
enrichest	period		-est thou-form of enrich, productive
ensign	period		French loanword, established military/naval term
ensigns	period		plural of ensign, regular
ensnared	period		en- + snare + -ed, productive
ensue	period		French-derived verb, established loan
entangle	period		en- + tangle, productive native prefix pattern
entangled	period		regular past tense
entering	period		-ing form of "enter", established French loan
entertain	period		French-derived verb, established
enticed	period		regular past tense of "entice", established French loan
enticeth	period		-eth form, productive
enticing	period		-ing form, productive
entrances	period		entrance + plural, established French loan compound
environ	period		French loanword "environ(en)", attested in ME/EModE
envying	period		-ing form of "envy", established French loan
envyings	period		plural nominalized -ing form, productive
espousals	period		"espouse" + -al + plural, established French loan family
establisheth	period		-eth form of "establish", established French loan verb
establishment	period		establish + -ment, productive nominalizer
estimations	period		"estimation" + plural, established Latinate noun
estranged	period		regular past tense of "estrange", established French loan
eunuchs	period		Greek/Latin loanword with long medieval ecclesiastical pedigree, plural regular
evangelists	period		Greek/Latin loanword, ME "evaungelist" attested, plural regular
evenings	period		native "evening" + plural, productive
eventide	period		native compound (even + tide), old Anglo-Saxon compounding pattern
eveningtide	period		native compound, same pattern as eventide
evildoer	period		native compound (evil + doer), fully transparent and productive
evildoers	period		plural of evildoer, regular
evilfavouredness	period		native compound + -ness, transparent and productive (cf. favoureth below)
evils	period		plural of native adjective-as-noun "evil", regular
exacteth	period		-eth form of "exact" (Latinate verb), productive verb class
exaction	period		exact + -ion, productive Latinate nominalizer
exactors	period		exact + agent -or, productive Latinate pattern
examining	period		-ing form of "examine", established Latinate loan
exceedeth	period		-eth form of "exceed", established Latinate loan
executest	period		-est thou-form of "execute", productive verb class
executioner	period		execute + -ion + agent -er, productive Latinate pattern
exerciseth	period		-eth form of "exercise", established Latinate loan
exorcists	period	(confirmed independently)	confirmed in Geneva1599 Acts 19:13 "exorcistes", Tyndale Acts 19:13 "exorcistes", Wycliffe Acts 19:13 "exorsisists" — genuinely attested in three independent pre-1611 witnesses
expecting	period		-ing form of "expect", established Latinate loan
expel	period		Latinate verb, established loan
expressly	period		express + -ly, productive adverb suffix
extremity	period		Latinate noun, established loan, attested by 16th c.
eye's	period		genitive of native noun "eye", standard formation
eyebrows	period		native compound (eye + brow + plural), transparent
eyesalve	period		native compound, transparent (cf. Rev 3:18 imagery), plausible formation
eyeservice	period		native compound, transparent, plausible Pauline coinage-style compound
eyewitnesses	period		native compound "eye-witness", transparent agent compound, productive pattern (cf. "ear-witness")
faintest	period		-est thou-form of "faint", productive verb class
fainthearted	period		native compound (faint + hearted), transparent and productive
fallowdeer	period		native compound (fallow + deer), transparent color-adjective + animal compound
falsifying	period		-ing form of "falsify" (Latinate), established loan
famines	period		plural of "famine", established French loan
fashioneth	period		-eth form of "fashion" (French loan verb), productive
fastening	period		-ing form of native verb "fasten", transparent
father's	period		genitive of native "father", standard formation
fatherless	period		native compound (father + -less), transparent and productive
fatling	period		native "fat" + diminutive -ling, productive native suffix
fatness	period		native "fat" + -ness, productive
fats	period		plural of "fat" (noun, a vat), plain native word
fatter	period		comparative of "fat", regular native adjective inflection
fattest	period		superlative of "fat", regular native adjective inflection
faultless	period		native compound "fault" (French loan) + -less, productive
favourable	period		favour + -able, productive Latinate/French pattern
favourest	period		-est thou-form of "favour", productive verb class
favoureth	period		-eth form of "favour", productive verb class
fearfulness	period		native "fearful" + -ness, productive
fears	period		plural of native noun "fear", plain vocabulary
feasted	period		regular past tense of "feast" (French loan verb), established
feebleminded	period		native compound (feeble + minded), transparent, cf. "-hearted" compounds
feebleness	period		feeble + -ness, productive
feedingplace	period		native compound (feeding + place), transparent
feigned	period		regular past tense of "feign" (French loan), established
feignedly	period		feigned + -ly, productive adverb suffix
feignest	period		-est thou-form of "feign", productive verb class
fellest	suspect	cruellest	superlative of "fell" (adj., cruel) is attested in EModE generally but not independently confirmed here; the adjective "fell" itself is well-attested (cf. Wycliffe/Chaucer), superlative form unverified
fellow's	period		genitive of native "fellow", standard formation
fellowcitizens	period		native compound, transparent Pauline-style "fellow-" compound (cf. gainsay compounding pattern confirmed in ME Reader)
fellowdisciples	period		native "fellow-" compound, transparent
fellowheirs	period		native "fellow-" compound, transparent
fellowhelper	period		native "fellow-" compound, transparent
fellowhelpers	period		plural of fellowhelper, regular
fellowlabourer	period		native "fellow-" compound, transparent
fellowlabourers	period		plural, regular
fellowprisoner	period		native "fellow-" compound, transparent
fellowprisoners	period		plural, regular
fellows	period		plural of native "fellow", plain vocabulary
fellowservant	period		native "fellow-" compound, transparent
fellowservants	period		plural, regular
fellowsoldier	period		native "fellow-" compound, transparent
fellowworkers	period		native "fellow-" compound, transparent
ferret	suspect	weasel	no independent attestation for "ferret" naming the Lev 11:30 unclean creature; Geneva1599 reads "molle" (mole), Wycliffe reads "maldewerp" (mole); ME Reader glossary attests "wesele"/weasel as the native small-mammal term — ferret's presence here has no independent-corpus support
fetched	period		regular past tense of native "fetch", plain vocabulary
fetcheth	period		-eth form of "fetch", productive
fewness	period		"few" + -ness, productive
fillet	period		French loanword "filet", established by ME
filleted	period		regular past tense of fillet
fillets	period		plural of fillet, regular
filthiness	period		"filth" (native) + -y + -ness, productive native suffix stacking
