tolerable	period		standard EModE adjective, KJV usage
tombs	period		plural of tomb, common
tooth's	suspect	tooth	possessive form unattested, likely OCR/spurious
tormentors	period		Matt 18:34 KJV coinage, -or agentive
tortoise	period		Lev 11:29 KJV word
tossings	period		Job 7:4 KJV coinage
tottering	period		Ps 62:3 KJV
townclerk	period		Acts 19:35 KJV compound
towns	period		common plural
trading	period		Ezek 27 KJV
traffick	period		archaic spelling, Ezek/Isa KJV
traffickers	period		Isa 23:8 KJV
train	period		1 Kings 10:2 KJV
trample	period		Matt 7:6 KJV
tranquillity	period		Latinate, attested Chaucer-era "tranquillitee"
transforming	period		2 Cor 11:14/15 KJV -ing form
transgress	period		common KJV verb
transgressor	period		common KJV noun
transparent	period		Rev 21:21 KJV, attested by 1590s
traps	period		Josh 23:13 KJV
travailest	period		-est form of travail, standard
travaileth	period		common -eth form
travailing	period		common -ing form
traveller	period		common
travelleth	period		common -eth form
traversing	period		Jer 2:23 KJV
treacherously	period		common KJV adverb
treaders	period		Joel 3:13 KJV agentive
treasured	period		common
treasurest	period		Rom 2:5 KJV -est form
treasuries	period		common plural
trickleth	period		Lam 3:49 KJV -eth on attested "trickle"
trimmest	period		Jer 2:33 KJV -est form
troubler	period		1 Chron 2:7 KJV
troublest	period		1 Kings 18:17 KJV -est form
troughs	period		Gen 30:38 KJV
trumpeters	period		Rev 18:22 KJV
truth's	period		possessive, ordinary grammar
turtledove	period		common KJV bird name
turtledoves	period		common plural
tutors	period		Gal 4:2 KJV
twenty's	suspect		unclear referent, likely spurious form
twigs	period		Ezek 17:22 KJV
twoedged	period		compound, common KJV usage
unaccustomed	period		Jer 31:18 KJV
unbelief	period		common KJV noun
unbelievers	period		common KJV noun
unbelieving	period		common KJV adjective
unblameable	period		Col 1:22 KJV compound
unblameably	period		1 Thess 2:10 KJV adverb
uncertainly	period		1 Cor 9:26 KJV
unchangeable	period		Heb 7:24 KJV compound
uncircumcised	period		common KJV adjective
uncircumcision	period		common KJV noun
uncle's	period		possessive, common
unclean	period		very common KJV
uncleanness	period		very common KJV
uncleannesses	period		Ezek 36:29 KJV plural
unclothed	period		2 Cor 5:4 KJV
uncondemned	period		Acts 16:37 KJV
uncorruptible	period		Rom 1:23 KJV compound
uncorruptness	period		Titus 2:7 KJV
uncover	period		common KJV verb
uncovereth	period		common -eth form
unction	period		1 John 2:20 KJV, Latinate but attested
