casement	period		ME/EModE architectural noun, "casement" from AF cassement, transparent formation, attested independently of KJV
castaway	period		OE/ME compound "cast"+"away", productive EModE compounding
cauls	period		"caul" (net/membrane, headdress) ME noun, regular plural
causeway	period		compound < ME "causey"+"way", transparent formation
cave's	period		regular possessive of ME loan "cave" (OF cave)
cellars	period		regular plural of ME loan "cellar" (OF celier)
centurion's	period		regular possessive of Latin loan "centurion", attested ME
certify	period		ME verb < OF certifier/Latin certificare, standard formation
chalcedony	period		Greek/Latin gemstone name, classical loan, well pre-1611
chalkstones	period		transparent OE compound "chalk"+"stones"
challengeth	period		regular -eth of ME verb "chalengen" (OF chalengier)
chamberlains	period		regular plural of ME "chamberlain" (OF chamberlenc)
champaign	period		ME/EModE "open country" < OF champaigne; distinct sense from the wine, no anachronism
chanceth	period		regular -eth of ME noun/verb "chance"
changest	period		regular -est of ME verb "change" (OF changier)
channel	period		ME noun < OF chanel, standard
chapt	period		contracted EModE past of "chap" (to crack); regular -t contraction pattern (cf. "curst")
chargedst	period		regular -edst of ME verb "charge"
chastenest	period		regular -est of ME/EModE verb "chasten" (< OF chastier)
checker	period		ME "chekker" < OF eschequier, standard variant spelling
cheereth	period		regular -eth of ME verb "cheren" (to cheer)
cheerfully	period		transparent "cheerful"+"-ly", regular EModE adverb formation
cheerfulness	period		transparent "cheerful"+"-ness"
chests	period		regular plural of OE "cest/chest"
chickens	period		regular plural of OE "cicen"
child's	period		regular possessive of OE "cild"
childbearing	period		transparent OE-pattern compound "child"+"bearing"
childless	period		OE compounding pattern "child"+"-less"
children's	period		regular possessive plural of OE "cildru"
choicest	period		regular superlative of ME noun/adj "choice" (OF chois)
choosest	period		regular -est of OE verb "ceosan/choose"
chooseth	period		regular -eth of "choose"
churning	period		regular gerund of OE-derived verb "churn"
cieled	period		standard EModE spelling (pre-1611 "ciel"/"ceil" < OF celer) for panelling a ceiling
cieling	period		standard EModE spelling of "ceiling", same root as above
cinnamon	period		Greek/Latin loan, ME attested spice-name pattern
circuits	period		regular plural of ME "circuit" (OF circuit)
cistern	period		ME noun < OF cisterne
cisterns	period		regular plural of above
clamorous	period		transparent "clamour"+"-ous", ME/EModE adjective pattern
cleanness	period		OE compound "clene"+"-nes(se)", very old formation
cleaved	period		regular past of OE verb "cleofian/cleave"
clemency	period		Latin loan "clementia" via OF, standard EModE abstract noun
clifts	period		attested EModE/dialectal variant form of "cleft"
climbed	period		regular past of OE verb "climban"
climbeth	period		regular -eth of "climb"
clods	period		regular plural of ME/OE "clod"
cloths	period		regular plural of OE "clath"
clouts	period		regular plural of OE/ME "clut" (patch of cloth)
clovenfooted	period		transparent compound "cloven"+"footed"
cockcrowing	period		transparent OE-style compound "cock"+"crowing"
collops	period		ME noun "colhoppe" (slice of meat), standard
colts	period		regular plural of OE "colt"
comeliness	period		transparent "comely"+"-ness", ME adjective base
comfortedst	period		regular -edst of ME verb "comfort" (OF conforter)
comfortless	period		transparent "comfort"+"-less"
comings	period		regular gerund-plural of OE "cuman/come"
commandest	period		regular -est of ME verb "command" (OF comander)
commissions	period		regular plural of ME Latin loan "commission"
commotions	period		regular plural of ME Latin loan "commotion"
compass	period		ME noun/verb < OF compas, very common EModE word
compellest	period		regular -est of ME verb "compel" (Latin compellere)
compoundeth	period		regular -eth of ME verb "compound" (OF compondre)
conceiving	period		regular gerund of ME verb "conceive" (OF concevoir)
condescend	period		ME verb < OF condescendre, standard
coney	period		ME word "coni" (rabbit), old and common
confectionaries	suspect	confections	unusual plural use of "confectionary" as a count noun; the base adjective/noun is EModE but this specific plural form is not independently well-grounded
confidences	period		regular pluralization of abstract Latin loan "confidence", common EModE pattern
congratulate	period		Latin loan verb, borrowed into English by the 1530s, well before 1611
conquerors	period		regular agent noun "conquer"(ME, OF conquerre)+"-or"
consentedst	period		regular -edst of ME verb "consent" (OF consentir)
consorted	period		regular past of EModE verb "consort" (< Latin consortare), attested 15th c.
conspiracy	period		ME noun < OF conspiracie, attested since Chaucer's era
conspirators	period		regular agent noun "conspire"+"-ator", standard Latinate pattern
constellations	period		regular plural of ME astrological loan "constellation"
constrain	period		ME verb < OF constraindre, standard
consultation	period		Latin loan noun, EModE, standard abstract-noun pattern
consulter	period		regular agent noun "consult"+"-er"
consulteth	period		regular -eth of EModE Latin loan verb "consult", borrowed mid-16th c., well before 1611
contemn	period		Latin loan verb "contemnere", attested in English by 15th c. (Caxton)
contending	period		regular gerund of ME verb "contend" (OF contendre)
contentment	period		transparent "content"+"-ment", standard EModE abstract-noun formation
contradicting	period		regular gerund of ME/EModE Latin loan verb "contradict"
controversies	period		regular plural of ME Latin loan "controversy"
conversant	period		ME/EModE adjective < Latin conversant-, attested 14th c.
conversion	period		ME Latin loan noun, standard
converteth	period		regular -eth of ME verb "convert"
convicted	period		regular past participle of ME Latin loan verb "convict"
convince	period		EModE Latin loan verb, borrowed by 16th c.
convinced	period		regular past of above
convinceth	period		regular -eth of above
convocation	period		ME Latin loan noun, church-usage term attested 14th c.
convocations	period		regular plural of above
cooks	period		regular plural of OE "coc"
coping	period		EModE architectural noun "cope"+"-ing" (wall coping), attested by mid-16th c.
corrupters	period		regular agent noun "corrupt"(ME, Latin corruptus)+"-er"
corruptly	period		transparent "corrupt"+"-ly"
costliness	period		transparent "costly"+"-ness"
cottages	period		regular plural of ME "cottage" (AF cotage), attested since Chaucer
couchingplace	period		transparent compound of ME verb "couch" (to lie down) + "place"
coulter	period		ME word "culter/coulter" (plough-blade) < Latin culter
coulters	period		regular plural of above
counsellors	period		regular agent noun "counsel"(ME, OF conseil)+"-or"
countervail	period		ME verb < OF contrevaloir, standard
countrymen	period		transparent OE-pattern compound "country"+"men"
couplings	period		regular gerund-plural of ME verb "couple" (OF copler)
courageous	period		ME adjective < OF corageus, attested since Chaucer
covenantbreakers	period		transparent compound of two ME/EModE nouns, matches productive "-breaker" compounding pattern (cf. lawbreaker, sabbathbreaker)
covenanted	period		regular denominal verb from ME noun "covenant", standard EModE pattern
coveredst	period		regular -edst of ME verb "cover" (OF covrir)
coverest	period		regular -est of "cover"
coverings	period		regular gerund-plural of "cover"
covert	period		ME noun/adjective < OF covert, attested since Chaucer
coveted	period		regular past of ME verb "covet" (OF coveitier)
coveteth	period		regular -eth of "covet"
cow's	period		regular possessive of OE "cu"
crackling	period		regular gerund of EModE frequentative verb "crackle" (< "crack"), attested 15th c.
cracknels	period		ME word "cracknel" (crisp biscuit), attested 15th c.
craftiness	period		transparent OE compound "crafty"+"-ness"
craftsmen	period		transparent OE-pattern compound "craft"+"s"+"men"
crag	period		ME noun (Celtic origin), attested 14th c.
crashing	period		regular gerund of ME onomatopoeic verb "crash", attested 14th c.
craved	period		regular past of OE verb "crafian/crave"
craveth	period		regular -eth of "crave"
creditor	period		ME Latin loan noun "creditour", attested 15th c.
creditors	period		regular plural of above
crimson	period		EModE noun/adjective < OSpanish cremesin, attested 15th c.
crookbackt	period		transparent compound "crook"+"back"+contracted "-t" (cf. "curst"), regular EModE contraction pattern
cropped	period		regular past of ME verb "crop"
crossway	period		transparent compound "cross"+"way", ME attested as "crosseway"
crouch	period		ME verb < OF crochir/croucher (to bend/stoop), attested 14th c.; standalone verb, no corruption signature present
cruelty	period		ME noun < OF crualte, attested since Chaucer
crumbs	period		regular plural of OE "cruma"
crush	period		ME verb < OF croissir, attested 14th c.
crushed	period		regular past of above
cuckow	period		EModE variant spelling of "cuckoo", attested
cumbered	period		regular past of ME verb "cumber", attested 14th c.
cumbereth	period		regular -eth of "cumber"
cumbrance	period		ME noun (shortened "encumbrance"), attested 14th c.
cupbearers	period		transparent compound "cup"+"bearer"+"s", attested ME "cupbearer"
curdled	period		regular past of EModE frequentative verb "curdle" (< "curd"), attested 16th c.
cypress	period		ME/EModE tree-name < Latin cypressus, attested since Chaucer
dainties	period		regular plural of ME noun "dainty", attested since Chaucer
damsel's	period		regular possessive of ME "damsel" (OF damoisele)
dandled	period		regular past of EModE verb "dandle", attested 1520s, well before 1611
darkish	period		transparent OE-suffix formation "dark"+"-ish"
darkly	period		transparent OE formation "dark"+"-ly"
daub	period		ME verb < OF dauber, attested 14th c.
daughter's	period		regular possessive of OE "dohtor"
dayspring	period		OE/ME compound "day"+"spring" (dawn), transparent
daytime	period		transparent OE/ME compound "day"+"time"
deadness	period		transparent OE compound "dead"+"-ness"
dealers	period		regular agent noun "deal"(OE)+"-er"+"s"
debase	period		EModE formation, Latin prefix "de-"+ME "base", attested 16th c.
debates	period		regular plural of ME noun "debate" (OF debat), attested since Chaucer
debtors	period		regular plural of ME Latin loan "debtor", attested 14th c.
deceitfulness	period		transparent "deceitful"+"-ness"
deceits	period		regular plural of ME noun "deceit", attested since Chaucer
deceivableness	period		transparent "deceivable"(attested 14th c. Wycliffite "disceyvable")+"-ness"
deceiver	period		regular agent noun "deceive"(ME, OF deceivre)+"-er"
deceivers	period		regular plural of above
deceiveth	period		regular -eth of "deceive"
deceiving	period		regular gerund of "deceive"
deceivings	period		regular gerund-plural, less common but transparent formation
decently	period		transparent "decent"(EModE Latin loan)+"-ly"
decision	period		ME Latin loan noun, attested 15th c.
deck	period		ME verb "dekken" < Middle Dutch, attested 15th c.
deeply	period		transparent OE compound "deep"+"-ly"
deepness	period		transparent OE compound "deep"+"-ness"
deeps	period		regular plural noun-use of OE "deep"
defaming	period		regular gerund of ME verb "defame" (OF defamer), attested since Chaucer
defendest	period		regular -est of ME verb "defend" (OF defendre)
defiledst	period		regular -edst of ME verb "defile"
defraud	period		ME verb < OF defrauder/Latin defraudare, attested 14th c.
defy	period		ME verb < OF defier, attested since Chaucer
delayeth	period		regular -eth of ME verb "delay"
delicateness	period		transparent "delicate"(ME Latin loan)+"-ness"
delightest	period		regular -est of ME verb "delight"
delightsome	period		EModE formation "delight"+"-some" (cf. "toothsome", "winsome"), attested 16th c.
deliverances	period		regular plural of ME noun "deliverance"
deliverer	period		regular agent noun "deliver"+"-er"
deliverest	period		regular -est of "deliver"
demonstration	period		ME Latin loan noun, attested 14th c.
derided	period		regular past of EModE Latin loan verb "deride", attested 15th c.
descent	period		ME noun < OF descente, attested 14th c.
descry	period		ME verb < OF descrier, attested since Chaucer
despaired	period		regular past of ME verb "despair"
despising	period		regular gerund of ME verb "despise", attested since Chaucer
despiteful	period		transparent "despite"(ME)+"-ful", attested 15th c.
detain	period		ME verb < OF detenir/Latin detinere, attested 15th c.
detained	period		regular past of above
devices	period		regular plural of ME noun "device" (OF devis), attested since Chaucer
devilish	period		transparent OE/ME compound "devil"+"-ish"
devised	period		regular past of ME verb "devise"
deviseth	period		regular -eth of "devise"
devotions	period		regular plural of ME Latin loan "devotion", attested since Chaucer
devourer	period		regular agent noun "devour"(ME, OF devorer)+"-er"
devourest	period		regular -est of "devour"
devouring	period		regular gerund of "devour"
diadem	period		ME noun < Latin diadema, attested since Chaucer/Wycliffe
dignities	period		regular plural of ME Latin loan "dignity", attested since Chaucer
dimness	period		transparent OE compound "dim"+"-ness"
disannul	period		EModE formation "dis-"+"annul", common EModE legal/doubling-prefix pattern, attested 16th c.
disannulled	period		regular past of above
disannulleth	period		regular -eth of above
disannulling	period		regular gerund of above
disappointed	period		regular past of ME/EModE verb "disappoint" (OF desapointer), attested 15th c.
disappointeth	period		regular -eth of above
discern	period		ME verb < OF discerner, attested since Chaucer
discovering	period		regular gerund of ME verb "discover", attested since Chaucer
disinherit	period		ME/EModE formation "dis-"+"inherit", attested 15th c.
dismayed	period		regular past of ME verb "dismay", attested since Chaucer
dismaying	period		regular gerund of above
disorderly	period		transparent EModE formation "disorder"+"-ly", attested 16th c.
dispatch	period		EModE verb borrowed early 16th c. (via It./Fr.), well before 1611
dispersions	period		regular plural of ME Latin loan "dispersion", attested 15th c.
disposing	period		regular gerund of ME verb "dispose", attested since Chaucer
dispossess	period		ME/EModE formation "dis-"+"possess", attested 15th c.
dispossessed	period		regular past of above
disputings	period		regular gerund-plural of ME verb "dispute"
disquietness	period		transparent EModE formation "disquiet"+"-ness", attested 16th c.
dissolvest	period		regular -est of ME Latin loan verb "dissolve", attested since Chaucer
dissolving	period		regular gerund of above
distracted	period		regular past of ME/EModE verb "distract" (Latin distractus), attested 15th c.
distraction	period		ME Latin loan noun, attested 15th c.
divider	period		regular agent noun "divide"(ME)+"-er"
divideth	period		regular -eth of "divide"
divinations	period		regular plural of ME Latin loan "divination", attested since Chaucer/Wycliffe
diviners	period		regular agent noun "divine"(verb)+"-er", attested Wycliffite "divinour"
divineth	period		regular -eth of "divine" (verb)
divorcement	period		transparent "divorce"+"-ment", ME/EModE
doorkeeper	period		transparent OE/ME compound "door"+"keeper"
doorkeepers	period		regular plural of above
doors	period		regular plural of OE "duru/dor"
doubletongued	period		transparent EModE compound "double"+"tongued", matches common doubling-adjective pattern
doubts	period		regular plural of ME noun "doubt" (OF doute), attested since Chaucer
dove's	period		regular possessive of OE "dufe"
downsitting	period		transparent compound "down"+"sitting", regular EModE gerund-compound
dragging	period		regular gerund of ME/Norse-derived verb "drag", attested 14th c.
driedst	period		regular -edst of OE-derived verb "dry"
driver	period		regular agent noun "drive"(OE)+"-er"
driveth	period		regular -eth of "drive"
driving	period		regular gerund of "drive"
dromedary	period		ME noun < OF dromedaire, attested since Chaucer/Wycliffe
dropsy	period		ME medical term < OF ydropsie, attested 14th c.
dross	period		OE word "dros", attested
drove	period		regular past/noun-use of OE "drifan/drive"
drowsiness	period		transparent "drowsy"+"-ness", attested since Chaucer ("drowsinesse")
dryshod	period		transparent compound "dry"+"shod", attested ME/EModE idiom
dues	period		regular plural of ME/EModE noun "due", attested 15th c.
dwellingplace	period		transparent ME compound "dwelling"+"place"
dwellingplaces	period		regular plural of above
earring	period		transparent OE/ME compound "ear"+"ring"
earrings	period		regular plural of above
eaters	period		regular agent noun "eat"(OE)+"-er"+"s"
ebony	period		ME/EModE noun < Latin ebenus, attested 15th c.
